物品コード,物品名,カテゴリ,提供価格,,
,,,生徒販売価格,,
111-132947-11,高校新演習フォーカス　図形と計量（三角比）,教材,¥748,1,
,説明文を開く,,"¥1,047",,
,改訂:2022/10,,,,
111-132948-11,大阪府　入試トレーニング　英語　XV　【取り寄せ】,教材,"¥1,058",1,
,説明文を開く,,"¥1,482",,
,改訂:2022/10,,,,
111-132949-11,大阪府　入試トレーニング　数学　XV　【取り寄せ】,教材,"¥1,058",1,
,説明文を開く,,"¥1,482",,
,改訂:2022/10,,,,
111-132950-11,大阪府　入試トレーニング　国語　XV　【取り寄せ】,教材,"¥1,058",1,
,説明文を開く,,"¥1,482",,
,改訂:2022/10,,,,
111-132951-11,大阪府　入試トレーニング　理科　XV　【取り寄せ】,教材,"¥1,058",1,
,説明文を開く,,"¥1,482",,
,改訂:2022/10,,,,
111-132952-11,大阪府　入試トレーニング　社会　XV　【取り寄せ】,教材,"¥1,058",1,
,説明文を開く,,"¥1,482",,
,改訂:2022/10,,,,
111-137526-11,高校新演習スタンダード　現代文Ⅱ　XW,教材,"¥1,650",1,
,説明文を開く,,"¥1,980",,
,改訂:2022/12,,,,
111-137527-11,高校新演習スタンダード　古典Ⅱ　XW,教材,"¥1,760",1,
,説明文を開く,,"¥2,112",,
,改訂:2022/12,,,,
111-137528-11,高校新演習スタンダード　数学Ｂ　XW,教材,"¥1,650",1,
,説明文を開く,,"¥1,980",,
,改訂:2022/12,,,,
111-137529-11,高校新演習スタンダード　数学Ｃ　XW,教材,"¥1,760",1,
,説明文を開く,,"¥2,112",,
,改訂:2022/12,,,,
111-137530-11,高校新演習スタンダード　英語構文　XW,教材,"¥1,650",1,
,説明文を開く,,"¥1,980",,
,改訂:2023/01,,,,
111-137531-11,高校新演習スタンダード　英語長文　XW,教材,"¥1,650",1,
,説明文を開く,,"¥1,980",,
,改訂:2023/01,,,,
111-137532-11,高校新演習スタンダード　物理　ＸW,教材,"¥2,090",1,
,説明文を開く,,"¥2,508",,
,改訂:2023/02,,,,
111-137533-11,高校新演習スタンダード　化学　ＸW,教材,"¥2,090",1,
,説明文を開く,,"¥2,508",,
,改訂:2023/02,,,,
111-137534-11,高校新演習スタンダード　生物　ＸW,教材,"¥2,090",1,
,説明文を開く,,"¥2,508",,
,改訂:2023/01,,,,
111-137535-11,高校新演習スタンダード　日本史探究　上　ＸW,教材,"¥1,760",1,
,説明文を開く,,"¥2,112",,
,改訂:2023/01,,,,
111-137536-11,高校新演習スタンダード　日本史探究　下　ＸW,教材,"¥1,760",1,
,説明文を開く,,"¥2,112",,
,改訂:2023/01,,,,
111-137537-11,高校新演習スタンダード　世界史探究　上　ＸW,教材,"¥1,760",1,
,説明文を開く,,"¥2,112",,
,改訂:2023/01,,,,
111-137538-11,高校新演習スタンダード　世界史探究　下　ＸW,教材,"¥1,760",1,
,説明文を開く,,"¥2,112",,
,改訂:2023/01,,,,
111-137539-11,高校新演習プログレス　現代文Ⅱ　XW,教材,"¥1,760",1,
,説明文を開く,,"¥2,112",,
,改訂:2022/12,,,,
111-137540-11,高校新演習プログレス　数学Ⅱ　XW,教材,"¥1,650",1,
,説明文を開く,,"¥1,980",,
,改訂:2022/09,,,,
111-137541-11,高校新演習プログレス　数学Ｂ　XW,教材,"¥1,540",1,
,説明文を開く,,"¥1,848",,
,改訂:2023/01,,,,
111-137542-11,高校新演習プログレス　数学Ｃ　XW,教材,"¥1,540",1,
,説明文を開く,,"¥1,848",,
,改訂:2023/01,,,,
111-137543-11,高校新演習プログレス　数学Ⅲ　XW,教材,"¥2,530",1,
,説明文を開く,,"¥3,036",,
,改訂:2023/01,,,,
111-137544-11,高校新演習プログレス　英語構文　XW,教材,"¥1,650",1,
,説明文を開く,,"¥1,980",,
,改訂:2023/01,,,,
111-137545-11,高校新演習プログレス　英語長文Ⅱ　XW,教材,"¥1,540",1,
,説明文を開く,,"¥1,848",,
,改訂:2022/09,,,,
111-137546-11,高校新演習ベーシック　数学Ⅱ XW,教材,"¥2,090",1,
,説明文を開く,,"¥2,508",,
,改訂:2023/01,,,,
111-137547-11,高校新演習ベーシック　数学B・C XW,教材,"¥1,650",1,
,説明文を開く,,"¥1,980",,
,改訂:2022/12,,,,
111-137549-11,中学受験新演習　小6　国語 上　XW,教材,"¥3,080",1,
,説明文を開く,,"¥3,696",,
,改訂:2022/12,,,,
111-137550-11,中学受験新演習　小6　算数 上　XW,教材,"¥3,080",1,
,説明文を開く,,"¥3,696",,
,改訂:2022/12,,,,
111-137551-11,中学受験新演習　小6　理科 上　XW,教材,"¥3,080",1,
,説明文を開く,,"¥3,696",,
,改訂:2022/12,,,,
111-137553-11,中学受験実力アップ問題集　小6　国語 上　XW,教材,"¥2,574",1,
,説明文を開く,,"¥3,089",,
,改訂:2022/12,,,,
111-137554-11,中学受験実力アップ問題集　小6　算数 上　XW,教材,"¥2,574",1,
,説明文を開く,,"¥3,089",,
,改訂:2022/12,,,,
111-137555-11,中学受験実力アップ問題集　小6　理科 上　XW,教材,"¥2,574",1,
,説明文を開く,,"¥3,089",,
,改訂:2022/12,,,,
111-137561-11,中学受験　漢字日記　小6　上　XW,教材,"¥1,166",1,
,説明文を開く,,"¥1,399",,
,改訂:2022/12,,,,
111-137562-11,中学受験　計算日記　小6　上　XW,教材,"¥1,166",1,
,説明文を開く,,"¥1,399",,
,改訂:2023/01,,,,
111-137567-11,春期 中学受験新演習　小6　社会　XW,教材,¥946,1,
,説明文を開く,,"¥1,324",,
,改訂:2023/02,,,,
111-137614-11,フォレスタ　数学Ⅱ　XW,教材,"¥2,218",1,
,説明文を開く,,"¥2,661",,
,改訂:2023/02,,,,
111-137615-11,フォレスタ　数学B　XW,教材,"¥2,218",1,
,説明文を開く,,"¥2,661",,
,改訂:2023/02,,,,
111-137616-11,フォレスタゴール　中3　英語　XW,教材,"¥2,218",1,
,説明文を開く,,"¥2,661",,
,改訂:2023/02,,,,
111-137617-11,フォレスタゴール　中3　数学　XW,教材,"¥2,218",1,
,説明文を開く,,"¥2,661",,
,改訂:2023/02,,,,
111-137618-11,フォレスタゴール　中3　理科　XW,教材,"¥2,218",1,
,説明文を開く,,"¥2,661",,
,改訂:2023/02,,,,
111-137619-11,フォレスタゴール　中3　社会　XW,教材,"¥2,218",1,
,説明文を開く,,"¥2,661",,
,改訂:2023/02,,,,
111-137620-11,フォレスタゴール　中3　国語　XW,教材,"¥2,218",1,
,説明文を開く,,"¥2,661",,
,改訂:2023/02,,,,
111-137621-11,フォレスタ　英語構文　XW,教材,"¥2,218",1,
,説明文を開く,,"¥2,661",,
,改訂:2023/02,,,,
111-137622-11,フォレスタ　英文法　XW,教材,"¥2,218",1,
,説明文を開く,,"¥2,661",,
,改訂:2023/02,,,,
111-137623-11,フォレスタ　数学Ⅰ　XW,教材,"¥2,218",1,
,説明文を開く,,"¥2,661",,
,改訂:2023/02,,,,
111-137624-11,フォレスタ　数学A　XW,教材,"¥2,218",1,
,説明文を開く,,"¥2,661",,
,改訂:2023/02,,,,
111-137625-11,フォレスタ　物理基礎,教材,"¥2,218",1,
,説明文を開く,,"¥2,661",,
,改訂:2023/02,,,,
111-137626-11,フォレスタ　化学基礎,教材,"¥2,218",1,
,説明文を開く,,"¥2,661",,
,改訂:2023/02,,,,
111-137627-11,フォレスタ　生物基礎,教材,"¥2,218",1,
,説明文を開く,,"¥2,661",,
,改訂:2023/01,,,,
111-137640-11,新小学問題集　中学入試編　算数ステージⅠ　XW,教材,"¥1,562",1,
,説明文を開く,,"¥1,875",,
,改訂:2022/10,,,,
111-137641-11,新小学問題集　中学入試編　算数ステージⅡ　XW,教材,"¥1,669",1,
,説明文を開く,,"¥2,003",,
,改訂:2022/10,,,,
111-137642-11,新小学問題集　中学入試編　算数ステージⅢ　XW,教材,"¥1,669",1,
,説明文を開く,,"¥2,003",,
,改訂:2022/10,,,,
111-137643-11,新小学問題集　中学入試編　国語　ステージ1　XW,教材,"¥1,562",1,
,説明文を開く,,"¥1,875",,
,改訂:2022/10,,,,
111-137644-11,新小学問題集　中学入試編　国語　ステージ2　XW,教材,"¥1,669",1,
,説明文を開く,,"¥2,003",,
,改訂:2022/10,,,,
111-137645-11,新小学問題集　中学入試編　国語　ステージ3　XW,教材,"¥1,669",1,
,説明文を開く,,"¥2,003",,
,改訂:2022/10,,,,
111-137646-11,新小学問題集　中学入試の攻略　算数　XW,教材,"¥1,991",1,
,説明文を開く,,"¥2,389",,
,改訂:2022/10,,,,
111-137647-11,新小学問題集　中学入試編　理科　ステージ2　XW,教材,"¥1,718",1,
,説明文を開く,,"¥2,062",,
,改訂:2022/10,,,,
111-137648-11,新小学問題集　中学入試編　理科　ステージ3　XW,教材,"¥1,718",1,
,説明文を開く,,"¥2,062",,
,改訂:2022/10,,,,
111-137649-11,新小学問題集　中学入試編　社会　ステージ2　XW,教材,"¥1,718",1,
,説明文を開く,,"¥2,062",,
,改訂:2022/10,,,,
111-137650-11,新小学問題集　中学入試編　社会　ステージ3　XW,教材,"¥1,718",1,
,説明文を開く,,"¥2,062",,
,改訂:2023/01,,,,
111-137651-11,高校リード問題集 英語構文A　,教材,"¥1,196",1,
,説明文を開く,,"¥1,435",,
,改訂:2023/01,,,,
111-137652-11,高校リード問題集 英語構文B　,教材,"¥1,196",1,
,説明文を開く,,"¥1,435",,
,改訂:2023/02,,,,
111-137653-11,高校リード問題集 数学Ⅱ　XW,教材,"¥1,320",1,
,説明文を開く,,"¥1,584",,
,改訂:2023/02,,,,
111-137654-11,高校リード問題集 数学B＋C　XW,教材,"¥1,320",1,
,説明文を開く,,"¥1,584",,
,改訂:2023/02,,,,
111-137655-11,高校リード問題集 数学C　XW,教材,¥876,1,
,説明文を開く,,"¥1,227",,
,改訂:2022/12,,,,
111-137661-11,数学Ⅱ　コンプリート　XW,教材,"¥1,442",1,
,改訂:2022/12,,"¥1,731",,
111-137662-11,数学B　コンプリート　XW　,教材,"¥1,339",1,
,改訂:2023/02,,"¥1,607",,
111-137809-11,神奈川　入試トレーニング　高校入試対策　理科,教材,¥986,1,
,説明文を開く,,"¥1,380",,
,改訂:2022/12,,,,
111-137810-11,神奈川　入試トレーニング　高校入試対策　社会,教材,¥986,1,
,説明文を開く,,"¥1,380",,
,改訂:2022/12,,,,
111-137922-11,クリアー　数学Ⅱ＋B　XW,教材,"¥1,165",1,
,改訂:2023/01,,"¥1,389",,
111-137734-11,新小学問題集　中学入試編　理科　ステージ1　XW,教材,"¥1,669",1,
,説明文を開く,,"¥2,003",,
,改訂:2022/10,,,,
111-137735-11,新小学問題集　中学入試編　社会　ステージ1　XW,教材,"¥1,669",1,
,説明文を開く,,"¥2,003",,
,改訂:2022/10,,,,
111-139094-11,高校教科書サポートＰｌｕｓ　ＣⅡ　７０１,教材,"¥2,957",1,
,改訂:2023/02,,"¥3,548",,
111-139095-11,高校教科書サポートＰｌｕｓ　ＣⅡ　７０２,教材,"¥2,957",1,
,改訂:2023/02,,"¥3,548",,
111-139096-11,高校教科書サポートＰｌｕｓ　ＣⅡ　７０３,教材,"¥2,957",1,
,改訂:2023/02,,"¥3,548",,
111-139097-11,高校教科書サポートＰｌｕｓ　ＣⅡ　７０４,教材,"¥2,957",1,
,改訂:2023/02,,"¥3,548",,
111-139098-11,高校教科書サポートＰｌｕｓ　ＣⅡ　７０５,教材,"¥2,957",1,
,改訂:2023/02,,"¥3,548",,
111-139099-11,高校教科書サポートＰｌｕｓ　ＣⅡ　７０６,教材,"¥2,957",1,
,改訂:2023/02,,"¥3,548",,
111-139100-11,高校教科書サポートＰｌｕｓ　ＣⅡ　７０７,教材,"¥2,957",1,
,改訂:2023/02,,"¥3,548",,
111-139101-11,高校教科書サポートＰｌｕｓ　ＣⅡ　７０８,教材,"¥2,957",1,
,改訂:2023/02,,"¥3,548",,
111-139102-11,高校教科書サポートＰｌｕｓ　ＣⅡ　７０９,教材,"¥2,957",1,
,改訂:2023/02,,"¥3,548",,
111-139103-11,高校教科書サポートＰｌｕｓ　ＣⅡ　７１０,教材,"¥2,957",1,
,改訂:2023/02,,"¥3,548",,
111-139104-11,高校教科書サポートＰｌｕｓ　ＣⅡ　７１１,教材,"¥2,957",1,
,改訂:2023/02,,"¥3,548",,
111-139105-11,高校教科書サポートＰｌｕｓ　ＣⅡ　７１２,教材,"¥2,957",1,
,改訂:2023/02,,"¥3,548",,
111-139106-11,高校教科書サポートＰｌｕｓ　ＣⅡ　７１３,教材,"¥2,957",1,
,改訂:2023/02,,"¥3,548",,
111-139107-11,高校教科書サポートＰｌｕｓ　ＣⅡ　７１４,教材,"¥2,957",1,
,改訂:2023/02,,"¥3,548",,
111-139108-11,高校教科書サポートＰｌｕｓ　ＣⅡ　７１５,教材,"¥2,957",1,
,改訂:2023/02,,"¥3,548",,
111-139109-11,高校教科書サポートＰｌｕｓ　ＣⅡ　７１６,教材,"¥2,957",1,
,改訂:2023/02,,"¥3,548",,
111-139110-11,高校教科書サポートＰｌｕｓ　ＣⅡ　７１７,教材,"¥2,957",1,
,改訂:2023/02,,"¥3,548",,
111-139111-11,高校教科書サポートＰｌｕｓ　ＣⅡ　７１８,教材,"¥2,957",1,
,改訂:2023/02,,"¥3,548",,
111-139112-11,高校教科書サポートＰｌｕｓ　ＣⅡ　７１９,教材,"¥2,957",1,
,改訂:2023/02,,"¥3,548",,
111-139113-11,高校教科書サポートＰｌｕｓ　ＣⅡ　７２０,教材,"¥2,957",1,
,改訂:2023/02,,"¥3,548",,
111-139114-11,高校教科書サポートＰｌｕｓ　ＣⅡ　７２１,教材,"¥2,957",1,
,改訂:2023/02,,"¥3,548",,
111-139115-11,高校教科書サポートＰｌｕｓ　ＣⅡ　７２２,教材,"¥2,957",1,
,改訂:2023/02,,"¥3,548",,
111-139330-11,夏期　中学受験新演習　小６　国語　ＸＷ,教材,"¥1,408",1,
,説明文を開く,,"¥1,690",,
,改訂:2023/05,,,,
111-139331-11,夏期　中学受験新演習　小６　算数　ＸＷ,教材,"¥1,408",1,
,説明文を開く,,"¥1,690",,
,改訂:2023/05,,,,
111-139332-11,夏期　中学受験新演習　小６　理科　ＸＷ,教材,"¥1,298",1,
,説明文を開く,,"¥1,558",,
,改訂:2023/05,,,,
111-139334-11,高校新演習フォーカス　現代文２　解法と攻略,教材,¥902,1,
,説明文を開く,,"¥1,263",,
,改訂:2023/05,,,,
111-139335-11,高校新演習フォーカス　古文２　分野別演習,教材,¥902,1,
,説明文を開く,,"¥1,263",,
,改訂:2023/05,,,,
111-139336-11,高校新演習フォーカス　漢文　句法完成,教材,¥902,1,
,説明文を開く,,"¥1,263",,
,改訂:2023/05,,,,
111-139337-11,高校新演習フォーカス　図形と方程式,教材,¥748,1,
,説明文を開く,,"¥1,047",,
,改訂:2023/05,,,,
111-139338-11,高校新演習フォーカス　数列,教材,¥748,1,
,説明文を開く,,"¥1,047",,
,改訂:2023/05,,,,
111-139339-11,高校新演習フォーカス　ベクトル,教材,¥748,1,
,説明文を開く,,"¥1,047",,
,改訂:2023/05,,,,
111-139340-11,高校新演習フォーカス　英語構文１,教材,¥902,1,
,説明文を開く,,"¥1,263",,
,改訂:2023/05,,,,
111-139341-11,高校新演習フォーカス　英語構文２,教材,¥902,1,
,説明文を開く,,"¥1,263",,
,改訂:2023/05,,,,
111-139391-11,中学受験新演習　小6　国語　下　XW,教材,"¥3,080",1,
,説明文を開く,,"¥3,696",,
,改訂:2023/06,,,,
111-139392-11,中学受験新演習　小6　算数　下　XW,教材,"¥3,080",1,
,説明文を開く,,"¥3,696",,
,改訂:2023/06,,,,
111-139393-11,中学受験新演習　小6　理科　下　XW,教材,"¥3,080",1,
,説明文を開く,,"¥3,696",,
,改訂:2023/06,,,,
111-139395-11,中学受験　漢字日記　小6　下　XW,教材,"¥1,166",1,
,説明文を開く,,"¥1,399",,
,改訂:2023/06,,,,
111-139396-11,中学受験　計算日記　小6　下　XW,教材,"¥1,166",1,
,説明文を開く,,"¥1,399",,
,改訂:2023/06,,,,
111-139682-11,コンプリート 数学Ⅲ XW,教材,"¥1,443",1,
,改訂:2023/07,,"¥1,731",,
111-139683-11,コンプリート 数学C　 XW,教材,"¥1,340",1,
,改訂:2023/07,,"¥1,608",,
111-139679-11,新小学問題集　中学入試の攻略　国語　XW,教材,"¥1,991",1,
,改訂:2022/10,,"¥2,389",,
111-139680-11,新小学問題集　中学入試の攻略　理科　XW,教材,"¥1,991",1,
,改訂:2022/10,,"¥2,389",,
111-139681-11,新小学問題集　中学入試の攻略　社会　XW,教材,"¥1,991",1,
,改訂:2022/10,,"¥2,389",,
111-140198-11,冬期　中学受験新演習　小６　国語,教材,"¥1,298",1,
,説明文を開く,,"¥1,417",,
,改訂:2023/10,,,,
111-140199-11,冬期　中学受験新演習　小６　算数,教材,"¥1,298",1,
,説明文を開く,,"¥1,417",,
,改訂:2023/10,,,,
111-140200-11,冬期　中学受験新演習　小６　理科,教材,"¥1,298",1,
,説明文を開く,,"¥1,417",,
,改訂:2023/10,,,,
111-140202-11,高校新演習フォーカス　三角関数,教材,¥748,1,
,説明文を開く,,"¥1,047",,
,改訂:2023/10,,,,
111-140203-11,高校新演習フォーカス　微分・積分（数Ⅱ）,教材,¥748,1,
,説明文を開く,,"¥1,047",,
,改訂:2023/10,,,,
111-140205-11,冬期　ジュニア新演習　小３　算数,教材,¥770,1,
,説明文を開く,,"¥1,078",,
,改訂:2023/10,,,,
111-140204-11,冬期　ジュニア新演習　小３　国語,教材,¥770,1,
,説明文を開く,,"¥1,078",,
,改訂:2023/10,,,,
111-140224-11,埼玉　入試直前予想演習５回　国語,教材,¥986,1,
,説明文を開く,,"¥1,380",,
,改訂:2023/10,,,,
111-140226-11,埼玉　入試直前予想演習５回　社会,教材,¥986,1,
,説明文を開く,,"¥1,380",,
,改訂:2023/10,,,,
111-140231-11,東京　入試直前予想演習　５回　国語,教材,¥986,1,
,説明文を開く,,"¥1,380",,
,改訂:2023/10,,,,
111-140232-11,東京　入試直前予想演習　５回　英語,教材,¥986,1,
,説明文を開く,,"¥1,380",,
,改訂:2023/10,,,,
111-140233-11,東京　入試直前予想演習　５回　英語　CD,教材,¥862,1,
,説明文を開く,,"¥1,207",,
,改訂:2023/10,,,,
111-140234-11,神奈川　入試直前予想演習　５回　国語,教材,¥986,1,
,説明文を開く,,"¥1,380",,
,改訂:2023/10,,,,
111-140235-11,神奈川　入試直前予想演習　５回　社会,教材,¥986,1,
,説明文を開く,,"¥1,380",,
,改訂:2023/10,,,,
111-140236-11,大阪　入試直前予想演習　４回　C問題　国語,教材,"¥1,263",1,
,説明文を開く,,"¥1,515",,
,改訂:2023/10,,,,
111-140237-11,大阪　入試直前予想演習　４回　C問題　数学,教材,"¥1,263",1,
,説明文を開く,,"¥1,515",,
,改訂:2023/10,,,,
111-140238-11,大阪　入試直前予想演習　４回　C問題　英語,教材,"¥1,263",1,
,説明文を開く,,"¥1,515",,
,改訂:2023/10,,,,
111-140239-11,大阪　入試直前予想演習　４回　C問題　英CD,教材,¥955,1,
,説明文を開く,,"¥1,337",,
,改訂:2023/10,,,,
111-140240-11,大阪　入試直前予想演習　４回　B問題　国語,教材,"¥1,263",1,
,説明文を開く,,"¥1,515",,
,改訂:2023/10,,,,
111-140241-11,大阪　入試直前予想演習　４回　B問題　数学,教材,"¥1,263",1,
,説明文を開く,,"¥1,515",,
,改訂:2023/10,,,,
111-140242-11,大阪　入試直前予想演習　４回　B問題　英語,教材,"¥1,263",1,
,説明文を開く,,"¥1,515",,
,改訂:2023/10,,,,
111-140243-11,大阪　入試直前予想演習　４回　B問題　英CD,教材,¥955,1,
,説明文を開く,,"¥1,337",,
,改訂:2023/10,,,,
111-140244-11,大阪　入試直前予想演習　４回　理科,教材,"¥1,263",1,
,説明文を開く,,"¥1,515",,
,改訂:2023/10,,,,
111-140245-11,大阪　入試直前予想演習　４回　社会,教材,"¥1,263",1,
,説明文を開く,,"¥1,515",,
,改訂:2023/10,,,,
111-140572-11,アインストーン　国語　XX,教材,"¥1,398",1,
,説明文を開く,,"¥1,678",,
,改訂:2023/12,,,,
111-140573-11,アインストーン　算数　XX,教材,"¥1,398",1,
,説明文を開く,,"¥1,678",,
,改訂:2023/12,,,,
111-140574-11,アインストーン　理科　XX,教材,"¥1,398",1,
,説明文を開く,,"¥1,678",,
,改訂:2023/12,,,,
111-140575-11,アインストーン　社会　XX,教材,"¥1,398",1,
,説明文を開く,,"¥1,678",,
,改訂:2023/12,,,,
111-140576-11,アインストーン　文系Ⅰ　XX,教材,"¥1,398",1,
,説明文を開く,,"¥1,678",,
,改訂:2023/12,,,,
111-140577-11,アインストーン　文系Ⅱ　XX,教材,"¥1,398",1,
,説明文を開く,,"¥1,678",,
,改訂:2023/12,,,,
111-140578-11,アインストーン　理系Ⅰ　XX,教材,"¥1,398",1,
,説明文を開く,,"¥1,678",,
,改訂:2023/12,,,,
111-140579-11,アインストーン　理系Ⅱ　XX,教材,"¥1,398",1,
,説明文を開く,,"¥1,678",,
,改訂:2023/12,,,,
111-140838-11,英検パスコース　２級　ＸＸ　【取り寄せ】,教材,"¥1,294",1,
,改訂:2024/01,,"¥1,552",,
111-140839-11,英検パスコース　準２級　ＸＸ　【取り寄せ】,教材,"¥1,294",1,
,改訂:2024/01,,"¥1,552",,
111-140840-11,英検パスコース　３級　ＸＸ　【取り寄せ】,教材,"¥1,294",1,
,改訂:2024/01,,"¥1,552",,
111-140916-11,春期　中学受験新演習　小５　社会　ＸＸ,教材,¥902,1,
,説明文を開く,,"¥1,263",,
,改訂:2024/02,,,,
111-140917-11,ジュニア新演習　算数　小２　ＸＸ　春講用,教材,¥770,1,
,説明文を開く,,"¥1,078",,
,改訂:2024/02,,,,
111-140918-11,春期　中学受験新演習　小６　国語　ＸＸ,教材,¥946,1,
,説明文を開く,,"¥1,204",,
,改訂:2024/02,,,,
111-140919-11,春期　中学受験新演習　小６　算数　ＸＸ,教材,¥946,1,
,説明文を開く,,"¥1,204",,
,改訂:2024/02,,,,
111-140920-11,春期　中学受験新演習　小６　理科　ＸＸ,教材,¥946,1,
,説明文を開く,,"¥1,204",,
,改訂:2024/02,,,,
111-140921-11,高校新演習　高校入門　数学　高１　ＸＸ　春講用,教材,¥858,1,
,説明文を開く,,"¥1,201",,
,改訂:2024/02,,,,
111-140842-11,ピラミッド　小１　国語　ＸＸ,教材,"¥1,348",1,
,説明文を開く,,"¥1,617",,
,改訂:2024/02,,,,
111-140843-11,ピラミッド　小２　国語　ＸＸ,教材,"¥1,348",1,
,説明文を開く,,"¥1,617",,
,改訂:2024/02,,,,
111-140844-11,ピラミッド　小３　国語　ＸＸ,教材,"¥1,348",1,
,説明文を開く,,"¥1,617",,
,改訂:2024/02,,,,
111-140845-11,ピラミッド　小４　国語　ＸＸ,教材,"¥1,348",1,
,説明文を開く,,"¥1,617",,
,改訂:2024/02,,,,
111-140846-11,ピラミッド　小５　国語　ＸＸ,教材,"¥1,348",1,
,説明文を開く,,"¥1,617",,
,改訂:2024/02,,,,
111-140847-11,ピラミッド　小６　国語　ＸＸ,教材,"¥1,348",1,
,説明文を開く,,"¥1,617",,
,改訂:2024/02,,,,
111-140848-11,ピラミッド　小１　算数　ＸＸ,教材,"¥1,348",1,
,説明文を開く,,"¥1,617",,
,改訂:2024/02,,,,
111-140849-11,ピラミッド　小２　算数　ＸＸ,教材,"¥1,348",1,
,説明文を開く,,"¥1,617",,
,改訂:2024/02,,,,
111-140850-11,ピラミッド　小３　算数　ＸＸ,教材,"¥1,348",1,
,説明文を開く,,"¥1,617",,
,改訂:2024/02,,,,
111-140851-11,ピラミッド　小４　算数　ＸＸ,教材,"¥1,348",1,
,説明文を開く,,"¥1,617",,
,改訂:2024/02,,,,
111-140852-11,ピラミッド　小５　算数　ＸＸ,教材,"¥1,348",1,
,説明文を開く,,"¥1,617",,
,改訂:2024/02,,,,
111-140853-11,ピラミッド　小６　算数　ＸＸ,教材,"¥1,348",1,
,説明文を開く,,"¥1,617",,
,改訂:2024/02,,,,
111-140854-11,ピラミッド　小５　理科　ＸＸ,教材,"¥1,416",1,
,説明文を開く,,"¥1,700",,
,改訂:2024/02,,,,
111-140855-11,ピラミッド　小６　理科　ＸＸ,教材,"¥1,416",1,
,説明文を開く,,"¥1,700",,
,改訂:2024/02,,,,
111-140856-11,ピラミッド　小５　社会　ＸＸ,教材,"¥1,416",1,
,説明文を開く,,"¥1,700",,
,改訂:2024/02,,,,
111-140857-11,ピラミッド　小６　社会　ＸＸ,教材,"¥1,416",1,
,説明文を開く,,"¥1,700",,
,改訂:2024/02,,,,
111-140858-11,新中学問題集　中１数学　標準編　ＸＸ,教材,"¥1,465",1,
,説明文を開く,,"¥1,758",,
,改訂:2024/02,,,,
111-140859-11,新中学問題集　中２数学　標準編　ＸＸ,教材,"¥1,465",1,
,説明文を開く,,"¥1,758",,
,改訂:2024/02,,,,
111-140860-11,新中学問題集　中３数学　標準編　ＸＸ,教材,"¥1,513",1,
,説明文を開く,,"¥1,817",,
,改訂:2024/02,,,,
111-140861-11,新中学問題集　中１国語　標準編　ＸＸ,教材,"¥1,465",1,
,説明文を開く,,"¥1,758",,
,改訂:2024/02,,,,
111-140862-11,新中学問題集　中２国語　標準編　ＸＸ,教材,"¥1,465",1,
,説明文を開く,,"¥1,758",,
,改訂:2024/02,,,,
111-140863-11,新中学問題集　中３国語　標準編　ＸＸ,教材,"¥1,513",1,
,説明文を開く,,"¥1,817",,
,改訂:2024/02,,,,
111-140864-11,新中学問題集　地理Ⅰ　ＸＸ,教材,"¥1,025",1,
,説明文を開く,,"¥1,231",,
,改訂:2024/02,,,,
111-140865-11,新中学問題集　地理Ⅱ　ＸＸ,教材,"¥1,025",1,
,説明文を開く,,"¥1,231",,
,改訂:2024/02,,,,
111-140866-11,新中学問題集　歴史Ⅰ　ＸＸ,教材,"¥1,025",1,
,説明文を開く,,"¥1,231",,
,改訂:2024/02,,,,
111-140867-11,新中学問題集　歴史Ⅱ　ＸＸ,教材,"¥1,025",1,
,説明文を開く,,"¥1,231",,
,改訂:2024/02,,,,
111-140868-11,新中学問題集　公民　ＸＸ,教材,"¥1,513",1,
,説明文を開く,,"¥1,817",,
,改訂:2024/02,,,,
111-140869-11,新中学問題集　中１数学　発展編　ＸＸ,教材,"¥1,397",1,
,説明文を開く,,"¥1,676",,
,改訂:2024/02,,,,
111-140870-11,新中学問題集　中２数学　発展編　ＸＸ,教材,"¥1,397",1,
,説明文を開く,,"¥1,676",,
,改訂:2024/02,,,,
111-140871-11,新中学問題集　中３数学　発展編　ＸＸ,教材,"¥1,455",1,
,説明文を開く,,"¥1,746",,
,改訂:2024/02,,,,
111-140872-11,新中学問題集　中１国語　発展編　ＸＸ,教材,"¥1,397",1,
,説明文を開く,,"¥1,676",,
,改訂:2024/02,,,,
111-140873-11,新中学問題集　中２国語　発展編　ＸＸ,教材,"¥1,397",1,
,説明文を開く,,"¥1,676",,
,改訂:2024/02,,,,
111-140874-11,新中学問題集　中３国語　発展編　ＸＸ,教材,"¥1,455",1,
,説明文を開く,,"¥1,746",,
,改訂:2024/02,,,,
111-140875-11,新中学問題集　中１英語　標準編　ＸＸ,教材,"¥1,465",1,
,説明文を開く,,"¥1,758",,
,改訂:2024/02,,,,
111-140876-11,新中学問題集　中２英語　標準編　ＸＸ,教材,"¥1,465",1,
,説明文を開く,,"¥1,758",,
,改訂:2024/02,,,,
111-140877-11,新中学問題集　中３英語　標準編　ＸＸ,教材,"¥1,513",1,
,説明文を開く,,"¥1,817",,
,改訂:2024/02,,,,
111-140878-11,新中学問題集　中１英語　発展編　ＸＸ,教材,"¥1,397",1,
,説明文を開く,,"¥1,676",,
,改訂:2024/02,,,,
111-140879-11,新中学問題集　中２英語　発展編　ＸＸ,教材,"¥1,397",1,
