物品コード,物品名,カテゴリ,提供価格,,
,,,生徒販売価格,,
111-124706-11,春期　公立中高一貫校対策　理系F　XR,教材,¥704,,
,説明文を開く,,¥986,,
,改訂:2020/01,,,,
111-124707-11,春期　公立中高一貫校対策　文系S　XR,教材,¥704,,
,説明文を開く,,¥986,,
,改訂:2020/01,,,,
111-124708-11,春期　公立中高一貫校対策　理系S　XR,教材,¥704,,
,説明文を開く,,¥986,,
,改訂:2020/01,,,,
111-124924-11,夏期　公立中高一貫校対策　文系F　XR,教材,¥968,,
,説明文を開く,,"¥1,355",,
,改訂:2020/01,,,,
111-124925-11,夏期　公立中高一貫校対策　理系F　XR,教材,¥968,,
,説明文を開く,,"¥1,355",,
,改訂:2020/01,,,,
111-124926-11,夏期　公立中高一貫校対策　文系S　XR,教材,¥968,,
,説明文を開く,,"¥1,355",,
,改訂:2019/12,,,,
111-124927-11,夏期　公立中高一貫校対策　理系S　XR,教材,¥968,,
,説明文を開く,,"¥1,355",,
,改訂:2019/12,,,,
111-125506-11,パターン別　最頻出古典マスター【国語】XR,教材,¥616,,
,説明文を開く,,¥862,,
,改訂:2020/02,,,,
111-125507-11,パターン別　差がつく問題マスター【数学】XR,教材,¥616,,
,説明文を開く,,¥862,,
,改訂:2020/02,,,,
111-125508-11,パターン別　最頻出文法マスター【英語】XR,教材,¥616,,
,説明文を開く,,¥862,,
,改訂:2019/01,,,,
111-125509-11,パターン別　最頻出問題マスター【理科】XR,教材,¥616,,
,説明文を開く,,¥862,,
,改訂:2019/01,,,,
111-125510-11,パターン別　最頻出記述マスター【社会】XR,教材,¥616,,
,説明文を開く,,¥862,,
,改訂:2019/01,,,,
111-125597-11,公立中高一貫校対策　文系F　冬期講習用　XR,教材,¥704,,
,説明文を開く,,"¥1,056",,
,改訂:2020/01,,,,
111-125598-11,公立中高一貫校対策　文系S　冬期講習用　XR,教材,¥704,,
,説明文を開く,,"¥1,056",,
,改訂:2020/02,,,,
111-125599-11,公立中高一貫校対策　理系F　冬期講習用　XR,教材,¥704,,
,説明文を開く,,"¥1,056",,
,改訂:2020/02,,,,
111-125600-11,公立中高一貫校対策　理系S　冬期講習用　XR,教材,¥704,,
,説明文を開く,,"¥1,056",,
,改訂:2020/03,,,,
111-125787-11,漢字ガイダンス　小5　改訂新版　ＸＲ　【取り寄せ】,教材,¥770,,
,説明文を開く,,"¥1,078",,
,改訂:2020/10,,,,
111-125926-11,GTEC　総合対策ガイドブック　ＸＲ　【取り寄せ】,教材,"¥2,495",,
,改訂:2020/10,,"¥2,994",,
111-127944-11,春期　ジュニア新演習　小2　国語　XT,教材,¥770,,
,説明文を開く,,"¥1,078",,
,改訂:2021/02,,,,
111-127946-11,春期　ジュニア新演習　小3　国語　XT,教材,¥770,,
,説明文を開く,,"¥1,078",,
,改訂:2021/02,,,,
111-127947-11,春期　ジュニア新演習　小3　算数　XT,教材,¥770,,
,説明文を開く,,"¥1,078",,
,改訂:2021/02,,,,
111-127948-11,春期　標準新演習　小4　国語　XT,教材,¥682,,
,説明文を開く,,¥955,,
,改訂:2021/02,,,,
111-127949-11,春期　標準新演習　小4　算数　XT,教材,¥682,,
,説明文を開く,,¥955,,
,改訂:2021/02,,,,
111-127950-11,春期　標準新演習　小5　国語　XT,教材,¥682,,
,説明文を開く,,¥955,,
,改訂:2021/02,,,,
111-127951-11,春期　標準新演習　小5　算数　XT,教材,¥682,,
,説明文を開く,,¥955,,
,改訂:2021/02,,,,
111-127952-11,春期　標準新演習　小5　英語　XT,教材,¥682,,
,説明文を開く,,¥955,,
,改訂:2021/02,,,,
111-127953-11,春期　標準新演習　小6　国語　XT,教材,¥682,,
,説明文を開く,,¥955,,
,改訂:2021/02,,,,
